"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 18:05:46 EDT 2024","Fri Aug 02 18:05:46 EDT 2024","313","","src\tests\version1.test.ts","Forex API Tests","","","should fetch the most recent exchange rates for AUD to CAD",""
"passed","Fri Aug 02 07:01:40 EDT 2024","Fri Aug 02 07:01:41 EDT 2024","449","","src\tests\forex.test.ts","Forex API Tests","","","should handle invalid currency pairs gracefully",""
"passed","Fri Aug 02 08:48:04 EDT 2024","Fri Aug 02 08:48:04 EDT 2024","147","","src\tests\forex.test.ts","","","","should handle invalid query parameters gracefully",""
"passed","Fri Aug 02 07:01:41 EDT 2024","Fri Aug 02 07:01:42 EDT 2024","137","","src\tests\forex.test.ts","Forex API Tests","","","should handle HTTP 400 Bad Request response",""
"passed","Fri Aug 02 18:05:48 EDT 2024","Fri Aug 02 18:05:48 EDT 2024","280","","src\tests\version1.test.ts","Forex API Tests","","","should handle HTTP 404 Not Found response",""
"passed","Fri Aug 02 18:05:46 EDT 2024","Fri Aug 02 18:05:46 EDT 2024","313","","src\tests\version1.test.ts","Forex API Tests","","","should fetch the most recent exchange rates for BRL to CAD",""
"passed","Fri Aug 02 08:48:04 EDT 2024","Fri Aug 02 08:48:04 EDT 2024","461","","src\tests\forex.test.ts","","","","should handle invalid currency pairs gracefully",""
"passed","Fri Aug 02 08:48:04 EDT 2024","Fri Aug 02 08:48:05 EDT 2024","549","","src\tests\forex.test.ts","","","","should handle HTTP 404 Not Found response",""
"passed","Fri Aug 02 18:05:45 EDT 2024","Fri Aug 02 18:05:46 EDT 2024","435","","src\tests\version1.test.ts","Forex API Tests","","","should fetch the most recent exchange rates for CAD to AUD",""
"passed","Fri Aug 02 07:01:41 EDT 2024","Fri Aug 02 07:01:41 EDT 2024","314","","src\tests\forex.test.ts","Forex API Tests","","","should handle invalid query parameters gracefully",""
"passed","Fri Aug 02 08:48:03 EDT 2024","Fri Aug 02 08:48:04 EDT 2024","299","","src\tests\forex.test.ts","","","","should fetch the most recent exchange rates for CAD to AUD",""
"passed","Fri Aug 02 18:05:48 EDT 2024","Fri Aug 02 18:05:48 EDT 2024","155","","src\tests\version1.test.ts","Forex API Tests","","","should handle HTTP 400 Bad Request response",""
"passed","Fri Aug 02 08:48:05 EDT 2024","Fri Aug 02 08:48:05 EDT 2024","566","","src\tests\forex.test.ts","","","","should handle HTTP 500 Internal Server Error response",""
"passed","Fri Aug 02 18:05:46 EDT 2024","Fri Aug 02 18:05:46 EDT 2024","285","","src\tests\version1.test.ts","Forex API Tests","","","should fetch the most recent exchange rates for EUR to CAD",""
"passed","Fri Aug 02 18:05:48 EDT 2024","Fri Aug 02 18:05:48 EDT 2024","224","","src\tests\version1.test.ts","Forex API Tests","","","should handle HTTP 500 Internal Server Error response",""
"passed","Fri Aug 02 07:01:41 EDT 2024","Fri Aug 02 07:01:41 EDT 2024","186","","src\tests\forex.test.ts","Forex API Tests","","","should handle HTTP 404 Not Found response",""
"passed","Fri Aug 02 18:05:46 EDT 2024","Fri Aug 02 18:05:47 EDT 2024","308","","src\tests\version1.test.ts","Forex API Tests","","","should fetch the most recent exchange rates for HKD to CAD",""
"passed","Fri Aug 02 08:48:05 EDT 2024","Fri Aug 02 08:48:06 EDT 2024","249","","src\tests\forex.test.ts","","","","should handle HTTP 400 Bad Request response",""
"passed","Fri Aug 02 18:05:47 EDT 2024","Fri Aug 02 18:05:48 EDT 2024","246","","src\tests\version1.test.ts","Forex API Tests","","","should handle invalid query parameters gracefully",""
"passed","Fri Aug 02 18:05:47 EDT 2024","Fri Aug 02 18:05:47 EDT 2024","281","","src\tests\version1.test.ts","Forex API Tests","","","should fetch the most recent exchange rates for INR to CAD",""
"passed","Fri Aug 02 07:01:41 EDT 2024","Fri Aug 02 07:01:41 EDT 2024","142","","src\tests\forex.test.ts","Forex API Tests","","","should handle HTTP 500 Internal Server Error response",""
"passed","Fri Aug 02 18:05:47 EDT 2024","Fri Aug 02 18:05:47 EDT 2024","177","","src\tests\version1.test.ts","Forex API Tests","","","should handle invalid currency pairs gracefully",""
"passed","Fri Aug 02 07:01:39 EDT 2024","Fri Aug 02 07:01:40 EDT 2024","817","","src\tests\forex.test.ts","Forex API Tests","","","should fetch the most recent exchange rates for CAD to AUD",""
