Date,Value and Currency
2024-05-24, 0.9060 AUD to CAD
2024-05-27, 0.9076 AUD to CAD
2024-05-28, 0.9082 AUD to CAD
2024-05-29, 0.9071 AUD to CAD
2024-05-30, 0.9079 AUD to CAD
2024-05-31, 0.9068 AUD to CAD
2024-06-03, 0.9100 AUD to CAD
2024-06-04, 0.9091 AUD to CAD
2024-06-05, 0.9101 AUD to CAD
2024-06-06, 0.9111 AUD to CAD
2024-06-07, 0.9061 AUD to CAD
2024-06-10, 0.9088 AUD to CAD
2024-06-11, 0.9088 AUD to CAD
2024-06-12, 0.9158 AUD to CAD
2024-06-13, 0.9128 AUD to CAD
2024-06-14, 0.9089 AUD to CAD
2024-06-17, 0.9073 AUD to CAD
2024-06-18, 0.9120 AUD to CAD
2024-06-19, 0.9145 AUD to CAD
2024-06-20, 0.9124 AUD to CAD
2024-06-21, 0.9105 AUD to CAD
2024-06-24, 0.9093 AUD to CAD
2024-06-25, 0.9074 AUD to CAD
2024-06-26, 0.9110 AUD to CAD
2024-06-27, 0.9107 AUD to CAD
2024-06-28, 0.9131 AUD to CAD
2024-07-02, 0.9124 AUD to CAD
2024-07-03, 0.9144 AUD to CAD
2024-07-04, 0.9158 AUD to CAD
2024-07-05, 0.9191 AUD to CAD
2024-07-08, 0.9192 AUD to CAD
2024-07-09, 0.9186 AUD to CAD
2024-07-10, 0.9186 AUD to CAD
2024-07-11, 0.9223 AUD to CAD
2024-07-12, 0.9246 AUD to CAD
2024-07-15, 0.9251 AUD to CAD
2024-07-16, 0.9207 AUD to CAD
2024-07-17, 0.9210 AUD to CAD
2024-07-18, 0.9209 AUD to CAD
2024-07-19, 0.9182 AUD to CAD
2024-07-22, 0.9135 AUD to CAD
2024-07-23, 0.9110 AUD to CAD
2024-07-24, 0.9099 AUD to CAD
2024-07-25, 0.9045 AUD to CAD
2024-07-26, 0.9070 AUD to CAD
2024-07-29, 0.9060 AUD to CAD
2024-07-30, 0.9055 AUD to CAD
2024-07-31, 0.9019 AUD to CAD
2024-08-01, 0.9028 AUD to CAD
2024-08-02, 0.9036 AUD to CAD

Average Exchange Rate: 0.9118 AUD to CAD
