Date,Value and Currency
2024-05-24, 0.2653 BRL to CAD
2024-05-27, 0.2638 BRL to CAD
2024-05-28, 0.2646 BRL to CAD
2024-05-29, 0.2635 BRL to CAD
2024-05-30, 0.2628 BRL to CAD
2024-05-31, 0.2604 BRL to CAD
2024-06-03, 0.2604 BRL to CAD
2024-06-04, 0.2592 BRL to CAD
2024-06-05, 0.2590 BRL to CAD
2024-06-06, 0.2602 BRL to CAD
2024-06-07, 0.2601 BRL to CAD
2024-06-10, 0.2568 BRL to CAD
2024-06-11, 0.2570 BRL to CAD
2024-06-12, 0.2544 BRL to CAD
2024-06-13, 0.2552 BRL to CAD
2024-06-14, 0.2561 BRL to CAD
2024-06-17, 0.2538 BRL to CAD
2024-06-18, 0.2534 BRL to CAD
2024-06-19, 0.2510 BRL to CAD
2024-06-20, 0.2520 BRL to CAD
2024-06-21, 0.2517 BRL to CAD
2024-06-24, 0.2531 BRL to CAD
2024-06-25, 0.2512 BRL to CAD
2024-06-26, 0.2486 BRL to CAD
2024-06-27, 0.2481 BRL to CAD
2024-06-28, 0.2460 BRL to CAD
2024-07-02, 0.2414 BRL to CAD
2024-07-03, 0.2444 BRL to CAD
2024-07-04, 0.2481 BRL to CAD
2024-07-05, 0.2486 BRL to CAD
2024-07-08, 0.2491 BRL to CAD
2024-07-09, 0.2510 BRL to CAD
2024-07-10, 0.2521 BRL to CAD
2024-07-11, 0.2510 BRL to CAD
2024-07-12, 0.2504 BRL to CAD
2024-07-15, 0.2506 BRL to CAD
2024-07-16, 0.2520 BRL to CAD
2024-07-17, 0.2501 BRL to CAD
2024-07-18, 0.2466 BRL to CAD
2024-07-19, 0.2466 BRL to CAD
2024-07-22, 0.2474 BRL to CAD
2024-07-23, 0.2465 BRL to CAD
2024-07-24, 0.2448 BRL to CAD
2024-07-25, 0.2449 BRL to CAD
2024-07-26, 0.2446 BRL to CAD
2024-07-29, 0.2455 BRL to CAD
2024-07-30, 0.2456 BRL to CAD
2024-07-31, 0.2443 BRL to CAD
2024-08-01, 0.2431 BRL to CAD
2024-08-02, 0.2419 BRL to CAD

Average Exchange Rate: 0.2520 BRL to CAD
