Date,Value and Currency
2024-05-24, 1.4834 EUR to CAD
2024-05-27, 1.4804 EUR to CAD
2024-05-28, 1.4825 EUR to CAD
2024-05-29, 1.4824 EUR to CAD
2024-05-30, 1.4820 EUR to CAD
2024-05-31, 1.4802 EUR to CAD
2024-06-03, 1.4831 EUR to CAD
2024-06-04, 1.4880 EUR to CAD
2024-06-05, 1.4889 EUR to CAD
2024-06-06, 1.4897 EUR to CAD
2024-06-07, 1.4860 EUR to CAD
2024-06-10, 1.4800 EUR to CAD
2024-06-11, 1.4778 EUR to CAD
2024-06-12, 1.4836 EUR to CAD
2024-06-13, 1.4792 EUR to CAD
2024-06-14, 1.4702 EUR to CAD
2024-06-17, 1.4735 EUR to CAD
2024-06-18, 1.4734 EUR to CAD
2024-06-19, 1.4732 EUR to CAD
2024-06-20, 1.4678 EUR to CAD
2024-06-21, 1.4650 EUR to CAD
2024-06-24, 1.4663 EUR to CAD
2024-06-25, 1.4626 EUR to CAD
2024-06-26, 1.4630 EUR to CAD
2024-06-27, 1.4661 EUR to CAD
2024-06-28, 1.4659 EUR to CAD
2024-07-02, 1.4705 EUR to CAD
2024-07-03, 1.4713 EUR to CAD
2024-07-04, 1.4713 EUR to CAD
2024-07-05, 1.4763 EUR to CAD
2024-07-08, 1.4771 EUR to CAD
2024-07-09, 1.4748 EUR to CAD
2024-07-10, 1.4743 EUR to CAD
2024-07-11, 1.4811 EUR to CAD
2024-07-12, 1.4856 EUR to CAD
2024-07-15, 1.4902 EUR to CAD
2024-07-16, 1.4900 EUR to CAD
2024-07-17, 1.4964 EUR to CAD
2024-07-18, 1.4944 EUR to CAD
2024-07-19, 1.4942 EUR to CAD
2024-07-22, 1.4972 EUR to CAD
2024-07-23, 1.4943 EUR to CAD
2024-07-24, 1.4967 EUR to CAD
2024-07-25, 1.4997 EUR to CAD
2024-07-26, 1.5019 EUR to CAD
2024-07-29, 1.4986 EUR to CAD
2024-07-30, 1.4974 EUR to CAD
2024-07-31, 1.4949 EUR to CAD
2024-08-01, 1.4943 EUR to CAD
2024-08-02, 1.5111 EUR to CAD

Average Exchange Rate: 1.4826 EUR to CAD
