Date,Value and Currency
2024-05-24, 0.1750 HKD to CAD
2024-05-27, 0.1747 HKD to CAD
2024-05-28, 0.1746 HKD to CAD
2024-05-29, 0.1754 HKD to CAD
2024-05-30, 0.1750 HKD to CAD
2024-05-31, 0.1744 HKD to CAD
2024-06-03, 0.1744 HKD to CAD
2024-06-04, 0.1751 HKD to CAD
2024-06-05, 0.1753 HKD to CAD
2024-06-06, 0.1752 HKD to CAD
2024-06-07, 0.1759 HKD to CAD
2024-06-10, 0.1762 HKD to CAD
2024-06-11, 0.1762 HKD to CAD
2024-06-12, 0.1754 HKD to CAD
2024-06-13, 0.1760 HKD to CAD
2024-06-14, 0.1760 HKD to CAD
2024-06-17, 0.1759 HKD to CAD
2024-06-18, 0.1758 HKD to CAD
2024-06-19, 0.1756 HKD to CAD
2024-06-20, 0.1755 HKD to CAD
2024-06-21, 0.1756 HKD to CAD
2024-06-24, 0.1750 HKD to CAD
2024-06-25, 0.1749 HKD to CAD
2024-06-26, 0.1754 HKD to CAD
2024-06-27, 0.1753 HKD to CAD
2024-06-28, 0.1753 HKD to CAD
2024-07-02, 0.1753 HKD to CAD
2024-07-03, 0.1746 HKD to CAD
2024-07-04, 0.1743 HKD to CAD
2024-07-05, 0.1745 HKD to CAD
2024-07-08, 0.1746 HKD to CAD
2024-07-09, 0.1746 HKD to CAD
2024-07-10, 0.1744 HKD to CAD
2024-07-11, 0.1745 HKD to CAD
2024-07-12, 0.1746 HKD to CAD
2024-07-15, 0.1751 HKD to CAD
2024-07-16, 0.1753 HKD to CAD
2024-07-17, 0.1753 HKD to CAD
2024-07-18, 0.1754 HKD to CAD
2024-07-19, 0.1758 HKD to CAD
2024-07-22, 0.1762 HKD to CAD
2024-07-23, 0.1763 HKD to CAD
2024-07-24, 0.1766 HKD to CAD
2024-07-25, 0.1770 HKD to CAD
2024-07-26, 0.1771 HKD to CAD
2024-07-29, 0.1774 HKD to CAD
2024-07-30, 0.1773 HKD to CAD
2024-07-31, 0.1768 HKD to CAD
2024-08-01, 0.1772 HKD to CAD
2024-08-02, 0.1775 HKD to CAD

Average Exchange Rate: 0.1755 HKD to CAD
