Date,Value and Currency
2024-05-24, 0.01646 INR to CAD
2024-05-27, 0.01640 INR to CAD
2024-05-28, 0.01640 INR to CAD
2024-05-29, 0.01643 INR to CAD
2024-05-30, 0.01642 INR to CAD
2024-05-31, 0.01634 INR to CAD
2024-06-03, 0.01640 INR to CAD
2024-06-04, 0.01638 INR to CAD
2024-06-05, 0.01642 INR to CAD
2024-06-06, 0.01639 INR to CAD
2024-06-07, 0.01646 INR to CAD
2024-06-10, 0.01648 INR to CAD
2024-06-11, 0.01647 INR to CAD
2024-06-12, 0.01641 INR to CAD
2024-06-13, 0.01645 INR to CAD
2024-06-14, 0.01646 INR to CAD
2024-06-17, 0.01645 INR to CAD
2024-06-18, 0.01646 INR to CAD
2024-06-19, 0.01643 INR to CAD
2024-06-20, 0.01638 INR to CAD
2024-06-21, 0.01640 INR to CAD
2024-06-24, 0.01637 INR to CAD
2024-06-25, 0.01637 INR to CAD
2024-06-26, 0.01639 INR to CAD
2024-06-27, 0.01641 INR to CAD
2024-06-28, 0.01642 INR to CAD
2024-07-02, 0.01641 INR to CAD
2024-07-03, 0.01633 INR to CAD
2024-07-04, 0.01630 INR to CAD
2024-07-05, 0.01633 INR to CAD
2024-07-08, 0.01633 INR to CAD
2024-07-09, 0.01633 INR to CAD
2024-07-10, 0.01631 INR to CAD
2024-07-11, 0.01632 INR to CAD
2024-07-12, 0.01632 INR to CAD
2024-07-15, 0.01635 INR to CAD
2024-07-16, 0.01638 INR to CAD
2024-07-17, 0.01637 INR to CAD
2024-07-18, 0.01638 INR to CAD
2024-07-19, 0.01640 INR to CAD
2024-07-22, 0.01644 INR to CAD
2024-07-23, 0.01645 INR to CAD
2024-07-24, 0.01648 INR to CAD
2024-07-25, 0.01650 INR to CAD
2024-07-26, 0.01652 INR to CAD
2024-07-29, 0.01654 INR to CAD
2024-07-30, 0.01654 INR to CAD
2024-07-31, 0.01650 INR to CAD
2024-08-01, 0.01654 INR to CAD
2024-08-02, 0.01654 INR to CAD

Average Exchange Rate: 0.0164 INR to CAD
